"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run"
15,60,2,143.2,142.5,140,147,134.95,150.1,4.81452604281555,9
16,54,2,109.814814814815,110,108,112,105,114.35,3.00988355616346,9
17,46,2,113.521739130435,113.5,111,115,107,121.75,4.10278566848744,9
18,6,2,114.166666666667,113.5,111.5,115.5,109.5,120.5,4.53504869507116,9
19,37,2,112.945945945946,113,112,115,105,119.2,4.23573387283024,9
20,138,2,95.804347826087,96,93,99,87,103,5.06866528977203,9
1,169,3,107.047337278107,107,104,110,99,115,5.26422183785841,9
2,104,3,122.230769230769,122,120,124,116,129,4.07986000433427,9
3,17,3,145.470588235294,146,144,147,139.8,151.2,4.57052577745197,9
4,53,3,100.867924528302,101,97,105,93.6,108.4,4.81199517171994,9
5,8,3,136.625,138,130,143.5,126.1,145,7.85470741475636,9
6,188,3,126.101063829787,126,124,129,117.7,134.65,5.28193358455272,9
7,126,3,129.238095238095,129,126,132,121,138,5.02860389599908,9
9,163,3,124.895705521472,125,122,127,120,130,3.50592707475324,9
10,146,3,110.246575342466,110,107,113,103.25,118,4.70445371351023,9
11,24,3,128.583333333333,128.5,125.25,133,122,136.55,5.04688166026841,9
12,117,3,92.3162393162393,92,90,94,86.8,99,3.92307403362064,9
13,191,3,116.492146596859,116,113,119,108,127,6.00952674373444,9
14,3,3,146.666666666667,147,146,147.5,145.2,147.9,1.52752523165195,9
15,63,3,144.714285714286,145,142,147,139,150.9,3.80758399152725,9
16,54,3,109.425925925926,109,108,111,104.65,115,3.23659413262077,9
17,19,3,111.894736842105,113,109,114,105,117.1,3.9566362936507,9
18,2,3,107.5,107.5,106.75,108.25,106.15,108.85,2.12132034355964,9
19,3,3,113,112,111.5,114,111.1,115.6,2.64575131106459,9
20,146,3,95.8561643835616,96,93,98,89.25,103,4.47366196683224,9
1,163,4,107.963190184049,107,105,111,101,115.9,4.61731787164413,9
2,108,4,123.037037037037,122,120,126,115.35,131.65,5.47368543673252,9
3,16,4,146.0625,147.5,142.75,148.25,138.5,152.5,5.05263957418958,9
4,26,4,100,100.5,98.25,103,93.25,105,4.00998753115268,9
5,1,4,140,140,140,140,140,140,NA,9
6,182,4,126.087912087912,126.5,123,129,119,133,4.81628992640727,9
7,140,4,128.935714285714,128,126,132.25,120.9,136.05,5.16380696422932,9
9,173,4,125.271676300578,125,123,128,119.6,132,3.88065507377121,9
10,150,4,110.14,110.5,108,112.75,104,116.55,3.92211078631573,9
11,27,4,129.222222222222,129,123.5,131,120,143.1,8.30353647241451,9
12,135,4,91.9703703703704,92,89.5,94,86,98.3,3.73155311737248,9
13,198,4,116.989898989899,117,112,121,105,127.15,8.0757768396204,9
15,66,4,144.5,145,141,148,137.25,151,5.22494019104525,9
16,53,4,110.22641509434,109,108,113,106,117,3.86623206272525,9
17,1,4,111,111,111,111,111,111,NA,9
19,1,4,108,108,108,108,108,108,NA,9
20,157,4,95.4649681528662,96,93,99,87,102,5.10094091674847,9
1,156,5,107.519230769231,107.5,104.75,110.25,99.75,115.25,4.99996277901779,9
2,102,5,121.235294117647,121,118,124,114.05,128.95,4.99737846243375,9
3,16,5,148.0625,147.5,146,150.75,141.5,153.75,4.21851079568766,9
4,3,5,99,101,97.5,101.5,94.7,101.9,4.35889894354067,9
6,208,5,126.774038461538,126.5,123,130,118.35,136.65,5.33712718671845,9
7,156,5,128.551282051282,129,125,132,120,137,5.42074256524358,9
9,171,5,125.304093567251,125,123,128,119.5,131.5,3.97949681603601,9
10,167,5,110.02994011976,110,107,113,102.3,117.7,4.85503731662181,9
11,20,5,128.1,128,126.5,129.25,118,134.65,6.307055364306,9
12,133,5,92.3007518796992,92,90,94,87,98.4,3.76181968057774,9
13,193,5,116.326424870466,116,113,121,106,127,6.44868980279805,9
15,61,5,143.213114754098,144,141,146,137,148,4.02125500351304,9
16,57,5,109.19298245614,109,108,111,105,115,3.03808325670754,9
20,153,5,95.3137254901961,96,92,98,87,103,5.10607299440075,9
1,152,6,106.921052631579,108,103,110,98.55,115,5.20255453782715,9
2,100,6,122.66,123,121,125,116.95,129.05,4.47263283139187,9
3,15,6,146.666666666667,147,144.5,148,141,153.3,3.67747325263006,9
6,216,6,125.814814814815,126,123,129,118.75,134,4.92104762555584,9
7,149,6,128.563758389262,129,126,131,121,135,4.56384461511997,9
9,183,6,125.540983606557,125,123,128,119,132,3.72948058056731,9
10,160,6,109.9625,110,107,113,103,117,4.41963529045429,9
11,17,6,128,128,123,133,120.2,137.6,6.7175144212722,9
12,146,6,91.9520547945205,91,90,94,86.25,99.75,3.72008934223605,9
13,190,6,116.842105263158,116.5,114,120.75,106,127,6.35262856810555,9
15,62,6,144.709677419355,145.5,142,148,136.05,150.95,4.76113740638018,9
16,62,6,109.790322580645,110,107,112,104,116.95,4.2854580518199,9
20,143,6,96.4965034965035,97,94,99.5,88.1,103.9,4.62673511552294,9
1,142,7,107.401408450704,108,104,111,98.05,117,5.18735486394242,9
2,100,7,121.67,121.5,119,124.25,114,128.05,4.2380074410868,9
3,13,7,146.615384615385,147,142,149,141.6,153.2,4.36918111203273,9
6,222,7,126.193693693694,126,123,129,118,134,5.22986168681524,9
7,164,7,128.463414634146,129,126,132,120,136,5.23015119478159,9
9,185,7,124.8,124,122,127,120,131,3.59770458221205,9
10,145,7,111.227586206897,111,109,114,105,118,4.19944577624074,9
11,18,7,131.555555555556,131.5,128,135.75,123.8,143.15,6.50087977957574,9
12,151,7,92.158940397351,92,90,94,87,98,3.57228725092069,9
13,186,7,117.537634408602,117,113,121,108,129.75,6.46246399295308,9
15,67,7,144.089552238806,145,141,147,135.6,151.4,4.66687665095833,9
16,54,7,110.111111111111,110,107.25,112.75,104.65,116,3.94139457488952,9
20,146,7,95.4178082191781,96,93,98,87,103.75,5.5569240428621,9
1,146,8,107.020547945205,107,104,109.75,100,115,5.07797024081974,9
2,99,8,121.828282828283,122,119.5,124,115,128,3.93321907950157,9
3,9,8,146.888888888889,146,145,149,144,150,2.57120810342359,9
6,239,8,126.037656903766,126,123,129,119,134,4.70502194061009,9
7,148,8,129.148648648649,129,126,132,122,136.65,4.64137685539622,9
9,178,8,125.314606741573,125,123,128,119,132,4.03542366979683,9
10,144,8,109.888888888889,109,107,112,103,118.85,4.54366709221865,9
11,14,8,129.142857142857,129.5,126.25,132.5,120.55,136.5,6.1250700825773,9
12,155,8,91.9483870967742,91,90,94.5,86.7,97.3,3.65704008548517,9
13,166,8,116.825301204819,117,113,120,107,126,6.63687300180282,9
15,73,8,142.547945205479,143,141,146,134.2,150.4,5.26793522668146,9
16,60,8,108.616666666667,108,106.75,111,104,115.05,3.46943880904643,9
20,164,8,96.1707317073171,96,93,99,88,104,4.66629969414234,9
1,157,9,106.968152866242,106,104,110,100.8,116,4.59573434070424,9
2,113,9,122.53982300885,123,120,126,114,129.8,5.13572118706337,9
3,7,9,147.142857142857,148,144,150.5,142.3,151,3.80475892484537,9
6,247,9,126.263157894737,126,123,129,119,135,4.97468989793926,9
7,138,9,129.260869565217,130,126,132,123.85,135,4.10679399319842,9
9,159,9,125.396226415094,125,123,128,119,133,4.30045459464039,9
10,143,9,109.629370629371,110,107,112,103.1,117,4.12255616328183,9
11,13,9,130.538461538462,131,128,133,124.2,137.2,4.57557618621933,9
12,143,9,91.8041958041958,91,89,94,87,97.9,3.4564875545721,9
13,162,9,115.851851851852,116,112,119,106,126,6.12825877028341,9
15,78,9,143.615384615385,145,140.25,148,133.85,149,5.31166510745794,9
16,66,9,109.621212121212,110,107.25,112,103.25,116,3.68266271358166,9
20,172,9,95.4651162790698,96,93,98.25,87,102,4.38150732273137,9
1,144,10,107.208333333333,107,105,110,98,116,5.08098745977921,9
2,108,10,121.324074074074,121,119,124,115,128,4.24886725686086,9
3,2,10,147.5,147.5,144.75,150.25,142.55,152.45,7.77817459305202,9
6,254,10,125.649606299213,125.5,123,128,117,133,4.54742900069081,9
7,139,10,128.589928057554,129,125,132,119,137,5.42780409016055,9
9,170,10,125.370588235294,125,123,127,121,132,3.53817134359905,9
10,147,10,110.027210884354,110,107.5,113,103,117.7,4.43050691034564,9
11,9,10,129.444444444444,129,129,130,118,141.8,9.04310664416702,9
12,145,10,91.6551724137931,92,90,94,85,97.8,3.67306129956265,9
13,176,10,116.670454545455,117,113,121,105,128,6.84142272740582,9
15,78,10,143.615384615385,144,142,146.75,135.55,152,5.68029350172456,9
16,50,10,109.54,110,107,111,104.45,115,3.8343772609893,9
20,174,10,95.6609195402299,96,93,99,88,103,4.81507402620997,9
1,138,11,106.978260869565,107,104,110,100,117,5.12538749299486,9
2,89,11,121.943820224719,122,119,125,115.4,129,4.31002939918732,9
6,252,11,126.507936507937,126,124,129,119,134,4.62583431776311,9
7,140,11,129.157142857143,129,127,132,121,136.05,5.07252640723603,9
9,169,11,124.804733727811,125,123,127,119,131,3.74527973796109,9
10,167,11,110.005988023952,110,107,113,103,117.7,4.40358151878977,9
11,9,11,130.666666666667,130,128,134,123.8,137.2,5.07444578254611,9
12,145,11,91.9655172413793,92,89,94,86,98,3.80681733703469,9
13,179,11,116.061452513966,116,113,119,107.9,125,5.54771135236296,9
15,74,11,142.540540540541,143,139.25,146.75,131.6,150,6.02549194078549,9
16,43,11,109.604651162791,110,108,112,104.1,114.9,3.42358441294473,9
20,192,11,95.7708333333333,96,94,98,88,103,4.23888547701634,9
1,140,12,107.392857142857,107,104,110.25,99.95,115.05,4.97431739082106,9
2,85,12,121.835294117647,122,119,125,114.4,128,4.27853740815026,9
6,247,12,125.947368421053,126,123,128,119,134,4.4321056079263,9
7,137,12,128.503649635037,129,126,132,120.8,136,5.25961876217284,9
9,196,12,124.959183673469,125,123,127,119,131,4.07221571980846,9
10,182,12,110.472527472527,110,108,113,104,118,5.14720470046829,9
11,5,12,128,127,125,131,125,131.8,3.3166247903554,9
12,116,12,91.1551724137931,91,89,93,85.75,97,3.40230982479962,9
13,169,12,116.094674556213,116,113,120,106.4,125.6,5.81791425106469,9
15,86,12,142.813953488372,144,140,146,135,149.75,4.62095388142771,9
16,30,12,109.6,109.5,107,112,105.45,114.55,2.91961263372977,9
20,204,12,95.6666666666667,96,93,99,87,103,5.27067046582098,9
1,147,13,107.068027210884,106,104,110,100.3,116,4.84790572485302,9
2,98,13,122.275510204082,122,120,124.75,115,131.15,4.6101202261866,9
6,261,13,126.268199233716,126,123,129,118,135,5.31949464547434,9
7,153,13,128.503267973856,129,125,131,121,136,4.63556642625162,9
9,173,13,124.919075144509,124,122,127,120,131.4,4.12512653225464,9
10,180,13,110.05,110,107,113,102,117.05,4.83270399806991,9
11,3,13,131,134,128,135.5,123.2,136.7,7.93725393319377,9
12,87,13,92.2183908045977,92,90,94,87,98,3.48560257163038,9
13,156,13,117.865384615385,117,113.75,122,108,129,7.28062965946033,9
15,88,13,144.181818181818,144,142,147.25,135,151,5.11824649962563,9
16,25,13,109.76,110,109,112,104.4,114,3.07245829914744,9
20,222,13,95.1351351351351,96,93,98,85,102,4.90449325150459,9
1,145,14,107.351724137931,107,103,112,99,115.8,5.39100464055474,9
2,110,14,122.481818181818,122,120,125,116,129.55,4.26793424491667,9
6,249,14,126.5140562249,126,123,130,118.4,135,4.90810751387882,9
7,162,14,128.820987654321,129,126,132,122,136.95,4.69161313420969,9
9,190,14,124.994736842105,125,123,127,119.45,130.55,3.72819568317901,9
10,186,14,109.715053763441,110,107,113,103,117,4.56182624019619,9
11,2,14,134,134,133,135,132.2,135.8,2.82842712474619,9
12,63,14,91.6031746031746,92,89,94,86.1,98,3.81651624010137,9
13,165,14,116.915151515152,116,113,121,108,127.8,6.36243363145802,9
15,87,14,144.413793103448,145,142,148,135.3,150,4.76555402996441,9
16,17,14,109.647058823529,110,109,111,105,113.2,2.5966607515853,9
20,218,14,95.697247706422,96,93,99,86,103,5.21165759412981,9
1,136,15,106.433823529412,107,103,109,96.75,114.5,5.78721733923916,9
2,112,15,121.205357142857,121,118,124,115,128,3.90919081707108,9
6,262,15,126.190839694656,126,123,129,119,136.95,5.45144292307572,9
7,160,15,128.63125,129,126,132,119.95,136.05,5.57241845918599,9
9,188,15,125.617021276596,125,122,128,120,134,4.45201722704655,9
10,190,15,109.894736842105,110,107,113,103.45,117,4.32165381877393,9
12,30,15,91.8333333333333,91.5,89,94,87.45,98.1,3.4549647768386,9
13,176,15,116.539772727273,116.5,113,120,107,126,5.75386657122674,9
15,92,15,144.336956521739,144,142,147,137.55,151.45,4.55075690821311,9
16,7,15,108.571428571429,108,107.5,109,105.6,112.5,2.76026223736942,9
20,239,15,95.2217573221757,95,93,99,85,103,5.26014300773928,9
1,140,16,106.75,107,104,110,99,115,5.23563468011254,9
2,108,16,122.861111111111,122.5,121,125,116,128.65,3.88973807669565,9
6,268,16,126.30223880597,126,123,129,118,135.65,5.03192752277331,9
7,145,16,129.089655172414,129,126,132,121,137.8,5.39665179298356,9
9,206,16,125.922330097087,126,123,128,119,133,4.62060986448463,9
10,201,16,110.601990049751,111,108,113,103,117,4.28378290998744,9
12,17,16,91.3529411764706,90,89,93,87.8,99.4,4.16745090658829,9
13,178,16,116.325842696629,116,112,119.75,107.85,127,6.06606804192305,9
15,89,16,143.640449438202,144,141,147,135.4,151,4.75597038901258,9
16,5,16,110.4,110,110,111,109.2,111.8,1.14017542509914,9
20,234,16,95.5299145299145,96,93,98,87,103,4.98508100342304,9
1,162,17,107.33950617284,107.5,104,110,98,115.95,5.15132929868009,9
2,114,17,122.114035087719,122,119,124,114.65,131.35,4.77597003431444,9
6,273,17,126.326007326007,126,123,129,119,134,4.99999461322701,9
7,151,17,128.364238410596,129,126,131,120.5,136,4.92542173315627,9
9,205,17,125.20487804878,125,122,127,119,133,4.40554192096817,9
10,184,17,110.070652173913,110,108,113,103.15,117,4.13705203887321,9
12,6,17,90,89,88,92.25,87.25,93.75,2.89827534923789,9
13,172,17,116.96511627907,117,113,121,108,127,6.03972749166174,9
15,86,17,143.558139534884,144,140,147,134.5,151,5.05407151224527,9
16,1,17,108,108,108,108,108,108,NA,9
20,242,17,95.7520661157025,96,93,99,87.05,103,4.84495030225236,9
1,179,18,107.307262569832,107,104,110,99,115,4.83671617559414,9
2,126,18,122.047619047619,122,119,125,116,129,4.19114713243454,9
6,254,18,125.866141732283,126,123,129,118,134.35,4.83459569040825,9
7,147,18,128.489795918367,129,126,131,122,134.7,4.18962735279949,9
9,217,18,125.21198156682,125,123,127,119,133,4.22308955707383,9
10,182,18,110.626373626374,110.5,108,113,103.05,118,4.5484460381975,9
12,2,18,91,91,90,92,89.2,92.8,2.82842712474619,9
13,172,18,116.087209302326,116,112,119,108,126.45,5.96367751277718,9
15,80,18,143.7875,144,140,147,135,151,5.34077638598203,9
20,236,18,95.3177966101695,96,93,99,87,102,5.04497443395976,9
1,188,19,107.042553191489,107,104,110.25,100,114,4.62824366640934,9
2,116,19,121.612068965517,121,119,124,114.75,129,4.25445352690492,9
6,242,19,125.793388429752,126,123,128,119,132,4.50065436528025,9
7,133,19,129,129,127,132,119.8,135.8,5.69555914194506,9
9,215,19,125.386046511628,125,123,127,120,132,3.84206801518929,9
10,185,19,110.421621621622,111,108,113,104,116.8,3.78003444422534,9
13,153,19,117.176470588235,116,112,122,106,131,7.34588825829835,9
15,104,19,143.519230769231,144,141,147,136,150,4.38660974256967,9
20,259,19,95.6911196911197,96,93,99,88,103.1,5.23675500715838,9
1,196,20,107.959183673469,108,104.75,111,99,116.25,5.72160703146426,9
2,114,20,122.289473684211,122,120,125,115.65,129.35,4.65200248862451,9
6,224,20,126.727678571429,126,123,129.25,119,135,5.17946462287643,9
7,135,20,128.940740740741,128,127,132,122,135.3,4.3926039653561,9
9,216,20,125.476851851852,125,123,128,119,133,4.20734919543988,9
10,180,20,110.483333333333,110,107.75,113,102.95,119,5.04889500605062,9
13,176,20,116.880681818182,116,113,121,108,129,6.50998982583441,9
15,101,20,144.475247524752,145,141,147,138,151,4.22987957134938,9
20,252,20,95.9325396825397,97,94,99,86.55,103,5.03131752865154,9
1,203,21,107.832512315271,108,104.5,111,101,116,5.46922325956496,9
2,112,21,121.455357142857,121,119,124,114.55,129,4.47795077178648,9
6,212,21,126.141509433962,126,123,129,119,134,4.67105370708877,9
7,129,21,128.945736434109,129,126,132,121,137,4.66085774951782,9
9,231,21,125.471861471861,125,123,127,120,132,3.93842116875096,9
10,180,21,110.422222222222,110,108,113,104,117,4.16148280883371,9
13,191,21,116.586387434555,116,112.5,121,107,127,6.2189543068073,9
15,102,21,143.117647058824,143,140,147,135,150,4.72887510465093,9
20,239,21,96.0292887029289,97,94,99,88,103,4.66111889183954,9
1,178,22,107.449438202247,108,105,110.75,98,114,4.60780775835618,9
2,101,22,121.435643564356,121,119,124,113,129,4.80086625846661,9
6,211,22,126.199052132701,126,123,129,117.5,136,5.32989761825485,9
7,131,22,128.389312977099,129,126,131,118,136,5.07266053555569,9
9,214,22,125.191588785047,125,123,127,120,131.35,3.42535756662226,9
10,206,22,110.21359223301,110,108,112,104,117,4.07646543558867,9
13,212,22,116.683962264151,116,113,121,108,126,6.04870652096531,9
15,114,22,144.438596491228,145,142,147,135.65,151.35,4.85367316014112,9
20,226,22,96.4867256637168,97,94,99,88,103.75,4.54432988678866,9
1,198,23,107.237373737374,107,104,110,100,116,4.93708818720517,9
2,93,23,121.010752688172,121,119,124,113.6,127,4.36262441869648,9
6,197,23,126.238578680203,126,124,128,119,134,4.48454648244576,9
7,128,23,129.421875,129,126,133,120.35,137,5.21144919920606,9
9,234,23,125.286324786325,125,123,128,119,132,4.00954667592505,9
10,201,23,109.850746268657,110,107,113,103,117,4.38948880170556,9
13,215,23,117.018604651163,117,113,121,107,128,6.27557406295268,9
15,108,23,144.388888888889,145,142,148,136,151,4.89675332709515,9
20,224,23,95.4821428571429,96,93,99,85,103,5.27619604591474,9
1,208,24,107.456730769231,107,104,111,100.35,116,5.01476591509547,9
2,82,24,121.987804878049,122,120,125,116,128,4.63878949311751,9
6,216,24,126.310185185185,126,123,129,119,135.25,4.81094565601003,9
7,122,24,128.704918032787,128,125.25,132,120.1,137,4.75114344582571,9
9,232,24,125.448275862069,125,123,128,119.55,132,3.9165424003561,9
10,194,24,109.912371134021,110,108,112,103,116.35,4.34610796601044,9
13,219,24,116.461187214612,115,113,120,107.9,127,6.25689347961499,9
15,97,24,143.824742268041,145,141,148,133.8,150,4.89474699141494,9
20,222,24,95.5675675675676,96,93,99,88,101.95,4.33468933293506,9
1,237,25,107.603375527426,108,105,110,100,116,4.54950048458389,9
2,69,25,122.347826086957,123,120,125,115.4,128,4.40863486592779,9
6,222,25,126.202702702703,126,123,129,119,135,5.17909056569635,9
7,121,25,128.462809917355,129,126,132,120,136,4.89224100372902,9
9,232,25,125.004310344828,125,122.75,127,119,132.45,4.19698700917899,9
10,198,25,109.505050505051,109,107,112,103,117,3.97549278591187,9
13,216,25,116.050925925926,116,112,120,106,126,6.21193143570737,9
15,99,25,144.060606060606,145,141,147,137,150,4.32557223256606,9
20,202,25,96.3762376237624,97,94,99,88,103,4.64212055924204,9
1,259,26,107.258687258687,107,104,110,99,116,5.04079018725153,9
2,63,26,122.063492063492,122,119.5,124.5,117,129,5.38478446530956,9
6,236,26,126.25,126,123,129,120,134,4.61738159198018,9
7,124,26,128.508064516129,129,126,132,120.15,136,5.20083790582182,9
9,226,26,124.659292035398,125,122,127,118,132,3.97367195801212,9
10,181,26,110.596685082873,110,108,113,105,118,3.97321449140626,9
13,222,26,116.603603603604,116,113,120,106.05,127,6.40811035781969,9
15,90,26,143.611111111111,144,141,146,136,150.55,4.26296948897363,9
20,195,26,95.4410256410256,96,93,99,86,104,5.25439030709931,9
1,254,27,107.783464566929,108,105,111,100,115,5.04489353655577,9
2,80,27,122.4,122,120,124.25,114.95,129.05,5.31917953128826,9
6,225,27,125.884444444444,125,123,128,119,133.8,4.82043434781424,9
7,130,27,129.730769230769,129.5,126,133,122,138,5.02210379576926,9
9,211,27,125.218009478673,125,123,127,119.5,132.5,4.03671929735324,9
10,195,27,109.897435897436,110,107,112,102.7,117,4.47786579201321,9
13,225,27,116.208888888889,116,113,120,107.2,125,5.7698346651782,9
15,93,27,142.967741935484,144,140,146,133,150.8,5.67498633000312,9
20,187,27,96.3368983957219,96,93,100,89,103.7,4.79906767439099,9
1,252,28,107.412698412698,107,104,110,99,116,5.29341444761889,9
2,80,28,122.4,122,120,125,116,128.05,3.87984079015648,9
6,227,28,125.938325991189,125,123,128,118,135,5.10644940285116,9
7,141,28,127.851063829787,128,124,131,119,136,5.40361806069754,9
9,197,28,125.02538071066,125,123,127,119,131,3.97240037984457,9
10,201,28,110.462686567164,110,108,113,105,118,4.11580499371249,9
13,234,28,116.564102564103,116,112,120,106,127.35,6.73073102851961,9
15,88,28,144.045454545455,144,141,147,135,152.65,5.22132913652579,9
20,175,28,96.1542857142857,97,93,99,87,103,4.58059016282152,9
1,247,29,107.024291497976,107,104,110,98,116,5.09497371121143,9
2,81,29,121.333333333333,121,119,124,115,128,4.48887513749269,9
6,236,29,126.343220338983,126,123,130,118,134.25,5.04330149909944,9
7,130,29,128.530769230769,129,125,132,120.45,135.55,4.64589251201042,9
9,195,29,125.4,125,123,128,120,133,4.04536135018965,9
10,216,29,110.217592592593,110,107,113,104,118.25,4.16785771090658,9
13,221,29,116.466063348416,116,112,120,108,127,6.27078198513229,9
15,90,29,144.1,144,141,147,137.45,151,4.58637454430775,9
20,174,29,95.8793103448276,97,93,99,87,103.35,5.25118512208114,9
1,242,30,106.462809917355,106.5,103,109,99,115.95,5.19502047298719,9
2,85,30,122.129411764706,122,119,125,114.2,128.8,4.97801891005926,9
6,240,30,126.783333333333,126,123.75,129.25,120,135.05,4.81834592590089,9
7,130,30,128.523076923077,129,126,132,120.9,135,4.82277443489232,9
9,209,30,124.909090909091,125,122,127,119,132.6,4.17252501909396,9
10,209,30,110.224880382775,110,108,112,104,117,4.49595471058833,9
13,217,30,116.294930875576,116,112,120,105.8,127,6.49042186894399,9
15,100,30,143,144,140,146,133,150,5.26662830826077,9
20,160,30,94.675,95,91,98,86.9,103,4.86361151626362,9
1,266,31,107.402255639098,107,104,110,100,116,4.99658700368016,9
2,78,31,122.666666666667,122.5,120,125,118,129,4.03448339655231,9
6,235,31,126.570212765957,126,123,129,119.7,135,4.84529531676594,9
7,148,31,128.959459459459,129,126,132,121,136,5.05867393876631,9
9,203,31,125.290640394089,125,123,128,119,132,4.03073109401032,9
10,203,31,110.320197044335,110,108,113,105,117,4.18518556085666,9
13,189,31,116.507936507937,116,112,120,107.4,130,6.78908624160478,9
15,113,31,144.16814159292,145,142,148,135,151,4.7863322053293,9
20,162,31,96.0740740740741,97,94,99,87.05,102,4.9098146801317,9
1,273,32,106.915750915751,107,104,110,99,114,4.67591697167136,9
2,87,32,121.252873563218,121,119,123,115,128.7,4.67357338213989,9
6,236,32,126.580508474576,127,123.75,129,119.75,134,4.40187113936647,9
7,129,32,129.542635658915,130,127,132,121,136.6,4.76315243552324,9
